"date";"count"
"2013-02-27";"4292"
"2013-02-26";"4007"
"2013-02-25";"3830"
"2013-02-23";"849"
"2013-02-22";"3985"
"2013-02-21";"3543"
"2013-02-19";"1257"
"2013-02-18";"4063"
"2013-02-16";"835"
"2013-02-15";"3942"
"2013-02-14";"3739"
"2013-02-13";"3538"
"2013-02-09";"868"
"2013-02-08";"3924"
"2013-02-07";"4055"
"2013-02-06";"3950"
"2013-02-05";"3697"
"2013-02-04";"3773"
"2013-02-02";"800"
"2013-02-01";"3216"
"2013-01-30";"3508"
"2013-01-29";"3707"
"2013-01-28";"3685"
"2013-01-26";"1089"
"2013-01-25";"3919"
"2013-01-24";"3625"
"2013-01-23";"3640"
"2013-01-22";"4212"
"2013-01-21";"3861"
"2013-01-19";"131"
"2013-01-18";"3487"
"2013-01-17";"3669"
"2013-01-16";"3444"
"2013-01-15";"3625"
"2013-01-14";"3235"
"2013-01-12";"831"
"2013-01-11";"3419"
"2013-01-10";"3347"
"2013-01-09";"3623"
"2013-01-08";"3465"
"2013-01-07";"3238"
"2013-01-05";"687"
"2013-01-04";"3541"
"2013-01-03";"3833"
"2013-01-02";"3171"
